Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,Papel,Payout_Medio,Empresa_Base,PL_Medio_Subsetor
UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,47.65,2025-10-24,26.26,48.85,343054000,182756000000,,2025-06-30,11506100000,13.63,287,,,,,,2.2,,,13.9,3.5,16.61,,,0.0,0.0,,21.1,,,,545462000000,98894700000,140127000000,63703300000,9896910000,3094390000,13411500000,2893090000,804014000,4009230000,,,,,,,,,BPAC11,29.95,BPAC1,8.69
PN,BANCO PAN PN,Intermediários Financeiros,Bancos,10.15,2025-10-24,6.18,10.15,19071300,12881100000,,2025-06-30,1269070000,16.89,168,,,,,,2.4,,,2.1,0.6,6.05,,,0.0,0.0,,9.9,,,,67447500000,0,0,7678540000,6576850000,1511890000,762560000,1478410000,371857000,169355000,,,,,,,,,BPAN4,40.6,BPAN,8.69
ON,BRAVA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",14.46,2025-10-24,14.20,25.58,146094000,6717500000,19006300000.0,2025-06-30,464557000,4.28,055,297.0,66.0,15.0,330.0,-28.0,0.0,470.0,840.0,115.6,3.38,26.37,29.0,22.3,15.4,5.2,6.1,12.8,137.0,138.0,23.0,43454300000,,,12250500000,,,1569810000,,,1049050000,4591690000,7535740000,16880400000,12288800000,10160100000,2263170000,3142370000,926503000,BRAV3,0.0,BRAV,4.58
ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,17.95,2025-09-22,16.22,25.85,182233000,28579900000,34231400000.0,2025-06-30,1592190000,7.97,170,386.0,45.0,44.0,255.0,-214.0,16.4,313.0,463.0,9.0,2.25,10.58,26.3,11.6,6.1,11.5,22.0,21.3,152.0,123.0,99.0,64292600000,,,16846400000,,,3585590000,,,740621000,15094000000,32864000000,20745500000,5651530000,63948600000,7396920000,15364600000,1696920000,BRFS3,130.84,BRFS,7.8
PNB,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,12.74,2025-10-24,9.02,12.74,14273000,5210330000,,2025-06-30,408974000,4.74,049,,,,,,9.7,,,4.6,2.69,26.03,,,0.0,0.0,,10.3,,,,155796000000,0,0,10645700000,6108410000,1042290000,1099840000,1554980000,254612000,377561000,,,,,,,,,BRSR6,45.94,BRSR,8.69
ON NM,CAMIL ON NM,Alimentos Processados,Alimentos Diversos,5.46,2025-10-24,3.36,7.69,5042190,1911000000,5631950000.0,2025-08-31,350000000,11.62,056,368.0,16.0,17.0,89.0,-124.0,5.4,715.0,1085.0,9.5,0.47,9.8,19.9,4.4,1.4,4.6,6.4,4.8,151.0,164.0,104.0,11340200000,,,3429760000,,,164415000,,,78703000,1907190000,6364480000,5628150000,3720950000,11768800000,518897000,2979670000,175835000,CAML3,62.73,CAML,14.32
ON NM,MELIUZ ON NM,Programas e Serviços,Programas e Serviços,4.65,2025-10-24,2.56,10.70,10959200,525370000,454045000.0,2025-06-30,112983000,10.77,099,877.0,134.0,80.0,854.0,1689.0,0.0,600.0,758.0,17.5,0.43,4.68,15.2,15.2,12.2,9.1,10.6,9.2,169.0,0.0,60.0,655324000,,,528901000,,,48760000,,,7368000,71469000,150681000,144000,-71325000,393184000,59939000,97820000,7366000,CASH3,0.0,CASH,32.82
ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados",16.69,2025-10-24,7.42,20.65,62299400,5144610000,5408570000.0,2025-06-30,308245000,10.25,149,506.0,64.0,58.0,375.0,-416.0,2.3,396.0,532.0,12.8,1.63,11.21,55.1,12.7,6.3,11.5,15.8,14.5,149.0,37.0,90.0,8869900000,,,3455690000,,,502151000,,,200313000,1003880000,4176960000,1267840000,263959000,8022470000,1017210000,2058460000,278631000,CEAB3,23.55,CEAB,10.26
ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,13.92,2025-10-24,13.09,18.31,2752970,39836000000,52121100000.0,2025-06-30,2861780000,6.13,140,592.0,95.0,63.0,-65426.0,-187.0,6.0,638.0,775.0,9.4,2.27,9.95,18.2,16.0,15.5,10.6,11.7,22.8,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG3,36.79,CMIG,8.56
PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,10.71,2025-10-24,9.10,11.27,99049900,30649700000,42934800000.0,2025-06-30,2861780000,4.71,108,456.0,73.0,48.0,-50339.0,-144.0,7.7,526.0,638.0,9.4,2.27,9.95,18.2,16.0,15.5,10.6,11.7,22.8,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG4,36.33,CMIG,8.56
ON,COGNA ON,Diversos,Serviços Educacionais,3.48,2025-10-24,0.96,3.48,82396300,6530590000,11969900000.0,2025-06-30,1876610000,5.88,052,297.0,97.0,28.0,441.0,-115.0,1.9,413.0,544.0,10.7,0.59,6.7,68.2,32.7,18.1,9.3,10.2,8.8,153.0,51.0,28.0,23649400000,,,12565400000,,,1110620000,,,118799000,944287000,4264420000,6383630000,5439350000,6734400000,2201630000,1664600000,475701000,COGN3,11.21,COGN,9.43
ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,40.8,2025-10-24,28.79,41.23,49917900,47012000000,71733100000.0,2025-06-30,1152250000,8.69,219,417.0,107.0,59.0,-2074.0,-116.0,6.8,539.0,636.0,5.1,4.69,18.64,31.5,25.6,13.0,14.2,15.8,25.2,88.0,135.0,56.0,79238200000,,,21481800000,,,5406970000,,,1124320000,4210650000,16105800000,28931800000,24721100000,44004800000,11271400000,10549100000,2574690000,CPFE3,59.16,CPFE,8.56
ON,COPEL ON,Energia Elétrica,Energia Elétrica,12.84,2025-10-24,7.62,12.84,55503300,38299300000,55281400000.0,2025-06-30,2982810000,12.58,150,900.0,160.0,63.0,2670.0,-166.0,4.6,967.0,1299.0,2.1,1.02,8.58,21.8,17.8,12.7,7.0,7.7,11.9,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE3,57.91,CPLE,8.56
PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,13.64,2025-10-24,8.43,13.64,134214000,40685500000,57667700000.0,2025-06-30,2982810000,13.37,159,956.0,170.0,67.0,2836.0,-176.0,4.7,1008.0,1355.0,2.1,1.02,8.58,21.8,17.8,12.7,7.0,7.7,11.9,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE6,62.85,CPLE,8.56
